,English,SimplifiedChinese,TraditionalChinese,Russian
Old Merc's Pal,Old Merc's Pal,佣兵重剑,傭兵重劍,Old Merc's Pal
One-Punch Mode,One-Punch Mode,秒杀模式,秒殺模式,One-Punch Mode
Onikabuto,Onikabuto,鬼兜虫,鬼兜蟲,Оникабуто
Only Hostile/Aggro,Only Hostile/Aggro,只作用于仇恨在你身上的对象,只作用於仇恨在你身上的對象,Только Агрессивные
Only bow character.,Only bow character.,仅限弓箭角色,僅限弓箭角色,Только персонажи с луком и стрелами могут использовать
Oozing Concretions,Oozing Concretions,淤泥涌口,淤泥湧口,Oozing Concretions
Open Folder,Open Folder,打开文件夹,打開文件夾,Открыть папку
Open Team Immediately,Open Team Immediately,立即打开队伍界面,立即打開隊伍界面,Моментальное открытие отряда
Open ascension materials filter window,Open ascension materials filter window,开启素材过滤窗口,開啟素材過濾視窗,Open ascension materials filter window
Open team immediately without waiting for count down.,Open team immediately without waiting for count down.,立即打开队伍界面，不需要等待读条。,立即打開隊伍界面，不需要等待讀條。,"Открывает отряд моментально, не дожидаясь завершения задержки перед открытием."
Open-World Chests,Open-World Chests,开放世界宝箱,開放世界寶箱,Open-World Chests
Ores,Ores,矿物,礦物,Руда
"Ores and variants, e.g. electro crystals, marrows, etc.","Ores and variants, e.g. electro crystals, marrows, etc.",矿物及其变种，如: 电气水晶、晶化骨髓等。,礦物及其變種，如: 電氣水晶、晶化骨髓等。,"Ores and variants, e.g. electro crystals, marrows, etc."
Other,Other,其他,其他,Остальное
Others,Others,其他,其他,Остальные
Otherworldly Story,Otherworldly Story,异世界行记,異世界行記,Otherworldly Story
Otogi Wood,Otogi Wood,御伽木,禦伽木,Otogi Wood
Outline Color,Outline Color,轮廓颜色,Outline Color,Outline Color
Override Height (m),Override Height (m),指定高度(米),指定高度(米),Перезаписываемая высота (m)
PF,PF,过滤,過濾,PF
Packet,Packet,包,包,Packet
Packet Sniffer,Packet Sniffer,抓包工具,抓包工具,Packet Sniffer
Padisarah,Padisarah,帕蒂沙兰,帕蒂沙蘭,Падисара
Paimon Follow,Paimon Follow,派蒙跟随,派蒙跟隨,Сопровождающая Паймон
Paimon follow,Paimon follow,派蒙跟随,派蒙跟隨,Сопровождающая консерва
Pale Red Crab,Pale Red Crab,薄红蟹,薄紅蟹,Pale Red Crab
Peach of the Deep Waves,Peach of the Deep Waves,沉波蜜桃,沈波蜜桃,Peach of the Deep Waves
Percent damage mode,Percent damage mode,百分比伤害模式,百分比傷害模式,Процентный урон
Percent mode,Percent mode,百分比模式,百分比模式,Процентный режим
Permanent Elemental Sight,Permanent Elemental Sight,永久元素视野,永久元素視野,Бесконечное чувство стихий
Perpetual Mechanical Array,Perpetual Mechanical Array,恒常机关阵列,恒常機關陣列,Бесконечный механический массив
Phantasmal Gate,Phantasmal Gate,幻梦之门,幻夢之門,Фазовые врата
Phase Gate,Phase Gate,相位之门,相位之門,Фазовые врата
Philanemo Mushroom,Philanemo Mushroom,慕风蘑菇,慕風蘑菇,Гриб Филанемо
Phonemes,Phonemes,音韵(?),音韻(?),Фонемы
Pick-ups,Pick-ups,直接拾取型,直接拾取型,Подбираемые
Pickup Filter,Pickup Filter,拾取过滤,拾取過濾,Фильтр подбираемых вещей
Pigeon,Pigeon,鸽子,鴿子,Голубь
Pine Wood,Pine Wood,松木,松木,Pine Wood
Pinecone,Pinecone,松果,松果,Сосновая шишка
Pipe name,Pipe name,管道名,管道名,Имя канала
Pipe name for connecting. Changes will apply after next game launch.,Pipe name for connecting. Changes will apply after next game launch.,用于连接的管道名称。更改将在下次游戏启动时生效。,用於連接的管道名稱。更改將在下次遊戲啟動時生效。,Имя канала для подключения. Изменения вступят в силу после перезапуска игры
Pirate Helm,Pirate Helm,海盗船指针(清籁丸),海盜頭盔(?),Пиратский Шлем
Placesof Essence Worship,Placesof Essence Worship,精华拜受处,精華拜受處,Места поклонения
Plant,Plant,植物,植物,Растение
Plants,Plants,植物,植物,Растения
Player,Player,玩家,玩家,Игрок
Please report the issue on our Discord server,Please report the issue on our Discord server.,请在我们的Discord上提交问题。,請在我們的Discord上提交問題。,Please report the issue on our Discord server
Pocket Grimoire,Pocket Grimoire,口袋魔导书,口袋魔導書,Pocket Grimoire
Point finding range,Point finding range,点位寻找范围,點位尋找範圍,Point finding range
Polar Star,Polar Star,冬极白星,冬極白星,Polar Star
Pole,Pole,长柄武器,長柄武器,Pole
Polearms,Polearms,原胚,原胚,Polearms
Position,Position,位置,位置,Позиция
Pot,Pot,锅,鍋,Чайник
Potato,Potato,土豆,土豆,Potato
Precious,Precious,珍贵,珍貴,Драгоценный
Precious Chest,Precious Chest,珍贵的宝箱,珍貴的寶箱,Precious Chest
Predator,Predator,掠食者,掠食者,Predator
Press to teleport next of selected.,Press to teleport next of selected.,按下按键传送到下一个选择的坐标,按下按鍵傳送到下一個選擇的坐標,Нажми для телепортации к следующему выбранному.
Press to teleport previous of selected.,Press to teleport previous of selected.,按下按键传送到上一个选择的坐标,按下按鍵傳送到上一個選擇的坐標,Нажми для телепортации к выбранному предыдущему.
Pressure Plate,Pressure Plate,压力石板,壓力石板,Нажимная плита
Primal Construct,Primal Construct,元能构装体,元能構裝體,Первозданная конструкция
Primal Ember,Primal Ember,元能火种,元能火種,Первозданные искры
Primal Obelisk,Primal Obelisk,元能尖碑,元能尖碑,Первозданный обелиск
Primal Sandglass,Primal Sandglass,元能沙钟,元能沙鐘,Первозданные песочные часы
Primo Geovishap,Primo Geovishap,古岩龙蜥,古岩龍蜥,Геовишап
Primordial Jade Cutter,Primordial Jade Cutter,磐岩结绿,磐岩結綠,Primordial Jade Cutter
Primordial Jade Winged-Spear,Primordial Jade Winged-Spear,和璞鸢,和璞鳶,Primordial Jade Winged-Spear
Profile,Profile,配置文件,配置文件,Профиль
Profile changer,Profile changer,配置文件修改器,配置文件修改器,Сменить профиль
Prototype Amber,Prototype Amber,试作金珀,試作金珀,Prototype Amber
Prototype Archaic,Prototype Archaic,试作古华,試作古華,Prototype Archaic
Prototype Crescent,Prototype Crescent,试作澹月,試作澹月,Prototype Crescent
Prototype Rancour,Prototype Rancour,试作斩岩,試作斬岩,Prototype Rancour
Prototype Starglitter,Prototype Starglitter,试作星镰,試作星鐮,Prototype Starglitter
Pseudo: %s,Pseudo: %s,别名: %s,別名: %s,Pseudo: %s
Pufferfish,Pufferfish,炮鲀,炮魨,Pufferfish
Purple Shirakodai,Purple Shirakodai,流纹京紫蝶鱼,流紋京紫蝶魚,Purple Shirakodai
Puzzle,Puzzle,解谜,解謎,Puzzle
Puzzle Chest,Puzzle Chest,解密宝箱,解密寶箱,Puzzle Chest
Puzzles,Puzzles,解密,解密,Puzzles
Pyro,Pyro,火,火,Pyro
Pyro Abyss Lector,Pyro Abyss Lector,深渊咏者·渊火,深淵詠者·淵火,Пиро вестник бездны
Pyro Hypostasis,Pyro Hypostasis,无相之火,無相之火,Пиро гипостазис
Pyro Regisvine,Pyro Regisvine,爆炎树,爆炎樹,Пиро орхидея
Qingxin,Qingxin,清心,清心,"Цветок цинсинь "
Qiqi,Qiqi,七七,七七,Qiqi
Quality,Quality,质量,品質,Качество
Quest Interact,Quest Interact,任务交互,任務互動,Quest Interact
Quest Interaction,Quest Interaction,任务交互,任務互動,Quest Interaction
Quest Interacts,Quest Interacts,任务交互点,任務互動點,Quest Interacts
Quest Teleport,Quest Teleport,任务点传送,任務點傳送,Quest Teleport
QuestTP,QuestTP,任务点传送,任務點傳送,QuestTP
QuestTeleport,QuestTeleport,任务点传送,任務點傳送,QuestTeleport
QuestTpKey,QuestTpKey,传送快捷键,傳送熱鍵,QuestTpKey
Quickly prepare an unstudied recipe to the maximum possible.,Quickly prepare an unstudied recipe to the maximum possible.,尽可能快速的将一份未解锁自动烹饪的食物解锁自动烹饪,盡可能快速的將一份未解鎖自動烹飪的食物解鎖自動烹飪,Quickly prepare an unstudied recipe to the maximum possible.
"Quickly switch accounts on launch
to use this, first export the account then add the following arguemnet to a shortcut or a command line
-account ""Account Name"".
You can also switch the region with -region ""Region Name""
Availabe regions are ""usa"", ""eu"", ""asia"", ""thm"".","Quickly switch accounts on launch
to use this, first export the account then add the following arguemnet to a shortcut or a command line
-account ""Account Name"".
You can also switch the region with -region ""Region Name""
Availabe regions are ""usa"", ""eu"", ""asia"", ""thm"".","在启动时快速切换账户。
要使用这个方法，首先导出账户，然后在快捷方式或命令行中添加以下参数:
 -account ""账号名称""。
你也可以用以下方法切换区域:
 -region ""区域名""。
可供选择的地区有: ""usa"", ""eu"", ""asia"", ""thm""。","在啟動時快速切換賬戶。
要使用這個方法，首先導出賬戶，然後在快捷方式或命令行中添加以下參數:
 -account ""帳號名稱""。
你也可以用以下方法切換區域:
 -region ""區域名""。
可供選擇的地區有: ""usa"", ""eu"", ""asia"", ""thm""。","Quickly switch accounts on launch
to use this, first export the account then add the following arguemnet to a shortcut or a command line
-account ""Account Name"".
You can also switch the region with -region ""Region Name""
Availabe regions are ""usa"", ""eu"", ""asia"", ""thm""."
Quicksand Unagi,Quicksand Unagi,流沙鳗鳗,流沙鰻鰻,Quicksand Unagi
RC,RC,RC,RC,RC
RSA Patch,RSA Patch,RSA补丁,RSA補丁,RSA Patch
Radiant Spincrystal,Radiant Spincrystal,旋曜玉帛,旋曜玉帛,Лучистый кристалл
Radish,Radish,白萝卜,白蘿蔔,Редис
Radish Drop,Radish Drop,白萝卜掉落,白蘿蔔掉落,Radish Drop
Radius (m),Radius (m),范围 (米),範圍 (米),Радиус (m)
Radius of common loot vacuum.,Radius of common loot vacuum.,普通物品的吸附范围,普通物品的吸附範圍,Радиус обычного лута.
"Radius of mob drop vacuum.
(Item Drops and Equipments)","Radius of mob drop vacuum.
(Item Drops and Equipments)","生物掉落的吸附范围/
(掉落道具/装备)","生物掉落的吸附範圍/
(掉落道具/裝備)","Радиус лут вакуума.
"
Radius of vacuum.,Radius of vacuum.,吸附范围.,吸附範圍.,Радиус вакуума.
Radius to check for valid targets.,Radius to check for valid targets.,有效目标检测范围.,有效目標檢測範圍.,Радиус для проверки валидных целей.
Raiden Shogun,Raiden Shogun,雷电将军,雷電將軍,Raiden Shogun
Raimei Angelfish,Raimei Angelfish,雷鸣仙,雷鳴仙,Raimei Angelfish
RainHeavy,RainHeavy,大雨,大雨,RainHeavy
Rainslasher,Rainslasher,雨裁,雨裁,Rainslasher
Random element type (excluding physics),Random element type (excluding physics),使元素类型随机（不会打出物伤）,使元素類型隨機（不會打出物理傷害）,случайный тип элемента（нет физического повреждения）
RandomElementType,RandomElementType,随机元素类型,隨機元素類型,случайный тип элемента
Randomize,Randomize,随机,隨機,Случайный
Randomize Multiplier,Randomize Multiplier,随机倍攻,隨機倍攻,Случайный множитель
Randomize multiplier between min and max multiplier.,Randomize multiplier between min and max multiplier.,随机倍攻击，范围在倍攻最小值和最大值之间随机。,隨機倍攻擊，範圍在倍攻最小值和最大值之間隨機。,Варьирующийся множитель между min и max значениями.
"Randomly missing enemies attack (in %, 0% = never, 100% = always) such as evade ability in other games.","Randomly missing enemies attack (in %, 0% = never, 100% = always) such as evade ability in other games.","随机闪避敌人的攻击(以%表示, 0% = 不闪避, 100% = 全闪避)，类似其他游戏中的闪避率。","隨機閃避敵人的攻擊(以%表示, 0% = 不閃避, 100% = 全閃避)，類似其他遊戲中的閃避率。","Randomly missing enemies attack (in %, 0% = never, 100% = always) such as evade ability in other games."
Range,Range,范围,範圍,Дальность
Range (m),Range (m),范围 (米),範圍 (米),Дальность (m)
Range is softly limited to ~15m for safety purposes.,Range is softly limited to ~15m for safety purposes.,出于安全目的，范围被软限制在 0~15m。,出於安全目的，範圍被軟限制在 0~15m。,Range is softly limited to ~15m for safety purposes.
